lat,lon
33.61598164,-117.97021399999998
32.53735524,-117.0
32.53731014,-116.8935042
32.53731014,-117.1064958
34.141763399999995,-119.1691419
34.23188496,-119.1714512
34.05526858,-118.9502749
34.05693970000001,-118.8419769
34.05851547,-118.7336702
34.05999586,-118.6253554
33.9683678,-118.7318383
33.9667974,-118.8400307
33.9651319,-118.9482145
34.0535021,-119.0585638
32.537174900000004,-117.2129912
33.34752248,-117.64482379999998
33.61508917,-118.0779997
33.96337138,-119.0563891
34.05164038,-119.1668429
33.07785807,-117.4285681
33.52579911,-117.96920559999998
33.70526732,-118.079125
33.6167802,-117.8624237
33.43561524,-116.0317982
33.34803401,-117.5373577
33.07818029,-117.3214278
32.71759194,-117.2134189
33.79218139,-118.40425659999998
33.70319371,-118.2949058
33.9698432,-118.6236378
33.70074338,-118.5106626
33.88106489,-118.51383359999998
33.43710826,-117.7530643
32.80757072,-117.3204502
33.70201562,-118.4027875
33.70427761,-118.1870182
33.97122356,-118.5154297
33.79090482,-118.5122445
33.52659496,-117.8615274
33.25783859,-117.5368048
33.16805754,-117.4290065
32.89777521,-117.3207746
32.71736492,-117.32012720000002
32.62738405,-117.21320459999998
32.62715782,-117.3198057
33.43640839,-117.86063500000002
33.16764186,-117.5362544
